Primary UZA Population,Mode VOMS,Total Spending,Total Minor Injuries,Property Damage,Total Injuries,Total Fatalities,Total Serious Injuries,UPT,Mode
4382009.0,42.0,115975.0,1.0,113500.0,2.0,0.0,0.0,665540.0,MB
149443.0,22.0,95306.0,0.0,0.0,0.0,0.0,0.0,60584.0,MB
149443.0,22.0,84511.0,1.0,0.0,0.0,0.0,0.0,72174.0,MB
149443.0,22.0,74119.0,1.0,0.0,0.0,0.0,0.0,75913.0,MB
149443.0,22.0,23816.0,0.0,0.0,0.0,0.0,0.0,91626.0,MB
149443.0,26.0,32533.0,1.0,0.0,0.0,0.0,0.0,65758.0,MB
149443.0,22.0,27653.0,2.0,0.0,0.0,0.0,0.0,81401.0,MB
155491.0,24.0,42989.0,2.0,0.0,0.0,0.0,0.0,84812.0,MB
149443.0,51.0,3167833.0,17.0,0.0,0.0,0.0,0.0,2699482.0,MB
149443.0,52.0,3634724.0,5.0,0.0,0.0,0.0,0.0,2636098.0,MB
149443.0,52.0,2766518.0,7.0,0.0,0.0,0.0,0.0,2661811.0,MB
149443.0,52.0,1224765.0,2.0,0.0,0.0,0.0,0.0,2691290.0,MB
149443.0,53.0,3061553.0,3.0,0.0,0.0,0.0,0.0,1647726.0,MB
149443.0,50.0,3204439.0,6.0,896.0,0.0,1.0,0.0,1858985.0,MB
155491.0,49.0,3011523.0,4.0,6468.0,3.0,0.0,0.0,2117588.0,MB
59124.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26925.0,MB
59124.0,9.0,428067.0,0.0,0.0,0.0,0.0,0.0,28425.0,MB
59124.0,9.0,342685.0,0.0,0.0,0.0,0.0,0.0,28584.0,MB
59124.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,28657.0,MB
59124.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,14821.0,MB
59124.0,10.0,250020.0,4.0,1500.0,1.0,0.0,0.0,17394.0,MB
50720.0,10.0,71833.0,0.0,10000.0,0.0,0.0,0.0,22070.0,MB
59124.0,17.0,732471.0,4.0,0.0,0.0,0.0,0.0,519284.0,MB
59124.0,16.0,328293.0,0.0,0.0,0.0,0.0,0.0,543091.0,MB
59124.0,16.0,1348497.0,0.0,0.0,0.0,0.0,0.0,515325.0,MB
59124.0,16.0,225129.0,0.0,0.0,0.0,0.0,0.0,509611.0,MB
59124.0,16.0,968050.0,0.0,7645.0,1.0,0.0,0.0,330625.0,MB
59124.0,17.0,576017.0,0.0,6662.0,1.0,0.0,0.0,356590.0,MB
50720.0,17.0,581619.0,1.0,55000.0,3.0,0.0,0.0,440893.0,MB
621300.0,110.0,1814979.0,2.0,58416.0,9.0,0.0,0.0,315728.0,MB
621300.0,113.0,1723849.0,0.0,63175.0,3.0,0.0,0.0,298654.0,MB
621300.0,116.0,2356525.0,0.0,24461.0,9.0,0.0,0.0,274857.0,MB
621300.0,111.0,2151996.0,1.0,2464.0,1.0,0.0,0.0,256082.0,MB
621300.0,116.0,3213939.0,10.0,0.0,0.0,0.0,0.0,119207.0,MB
621300.0,78.0,142926.0,10.0,0.0,0.0,0.0,0.0,131544.0,MB
442145.0,86.0,53063.0,5.0,0.0,0.0,0.0,0.0,164253.0,MB
621300.0,154.0,19060798.0,10.0,87251.0,22.0,0.0,0.0,12257881.0,MB
621300.0,152.0,25955731.0,20.0,103020.0,14.0,0.0,0.0,11102259.0,MB
621300.0,147.0,44413709.0,14.0,77482.0,19.0,0.0,0.0,10592928.0,MB
621300.0,140.0,15872714.0,2.0,61089.0,5.0,0.0,0.0,9943799.0,MB
621300.0,143.0,9580705.0,11.0,0.0,1.0,0.0,0.0,5013193.0,MB
621300.0,92.0,15147651.0,82.0,0.0,0.0,0.0,0.0,5068820.0,MB
442145.0,123.0,15774283.0,108.0,103500.0,5.0,0.0,0.0,6427329.0,MB
4181019.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,65036.0,MB
4181019.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,61231.0,MB
4181019.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,59691.0,MB
4181019.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,59420.0,MB
4181019.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10988.0,MB
4181019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,MB
4181019.0,21.0,370805.0,0.0,0.0,0.0,0.0,0.0,70917.0,MB
4181019.0,24.0,388826.0,0.0,0.0,0.0,0.0,0.0,82371.0,MB
4181019.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,87375.0,MB
4181019.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,92991.0,MB
4181019.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,46144.0,MB
4181019.0,22.0,1093424.0,0.0,0.0,0.0,0.0,0.0,53466.0,MB
4181019.0,40.0,5169187.0,0.0,0.0,0.0,0.0,0.0,2239122.0,MB
4181019.0,41.0,4828724.0,0.0,58944.0,4.0,0.0,0.0,2080281.0,MB
4181019.0,40.0,2908528.0,2.0,0.0,0.0,0.0,0.0,2000658.0,MB
4181019.0,40.0,626234.0,0.0,0.0,0.0,0.0,0.0,1927184.0,MB
4181019.0,41.0,2061418.0,0.0,0.0,0.0,0.0,0.0,963412.0,MB
4181019.0,39.0,523608.0,0.0,0.0,0.0,0.0,0.0,1147360.0,MB
4382009.0,39.0,6116104.0,0.0,0.0,0.0,0.0,0.0,1432247.0,MB
486514.0,48.0,5703974.0,1.0,4252.0,0.0,0.0,0.0,191743.0,MB
486514.0,48.0,1210246.0,0.0,10000.0,1.0,0.0,0.0,190815.0,MB
486514.0,48.0,373955.0,0.0,26000.0,3.0,0.0,0.0,179621.0,MB
486514.0,48.0,879220.0,0.0,17000.0,1.0,0.0,0.0,180947.0,MB
486514.0,58.0,18889.0,0.0,0.0,0.0,0.0,0.0,97967.0,MB
486514.0,52.0,891070.0,4.0,3000.0,2.0,0.0,0.0,121042.0,MB
482085.0,42.0,874756.0,4.0,0.0,0.0,0.0,0.0,169935.0,MB
486514.0,45.0,46431836.0,10.0,3500.0,2.0,0.0,0.0,3793439.0,MB
486514.0,45.0,6210928.0,7.0,0.0,0.0,0.0,0.0,3364611.0,MB
486514.0,41.0,2550494.0,5.0,63331.0,9.0,0.0,0.0,3078755.0,MB
486514.0,41.0,4625438.0,3.0,70500.0,5.0,0.0,0.0,2925029.0,MB
486514.0,42.0,2122788.0,0.0,10000.0,1.0,0.0,0.0,1988902.0,MB
486514.0,42.0,4070613.0,5.0,45100.0,3.0,0.0,0.0,2621746.0,MB
482085.0,47.0,8892142.0,0.0,42400.0,8.0,0.0,0.0,3602597.0,MB
203914.0,26.0,1097357.0,0.0,0.0,0.0,0.0,0.0,1810825.0,MB
203914.0,29.0,606331.0,0.0,0.0,0.0,0.0,0.0,1850686.0,MB
203914.0,34.0,6372380.0,0.0,0.0,0.0,0.0,0.0,1947038.0,MB
203914.0,34.0,3051224.0,0.0,0.0,0.0,0.0,0.0,2111881.0,MB
203914.0,34.0,4114514.0,0.0,5000.0,0.0,0.0,0.0,1065893.0,MB
203914.0,34.0,1172058.0,1.0,41000.0,0.0,0.0,0.0,1016885.0,MB
205356.0,30.0,2955466.0,0.0,0.0,0.0,0.0,0.0,1260110.0,MB
924859.0,143.0,18210753.0,4.0,48480.0,8.0,0.0,0.0,521845.0,MB
924859.0,144.0,24927802.0,5.0,25400.0,6.0,0.0,0.0,497765.0,MB
924859.0,147.0,7146754.0,11.0,46900.0,5.0,0.0,0.0,504788.0,MB
924859.0,153.0,4808299.0,3.0,42028.0,4.0,0.0,0.0,519153.0,MB
924859.0,157.0,3708903.0,1.0,0.0,0.0,0.0,0.0,296269.0,MB
924859.0,109.0,5438494.0,0.0,1076.0,0.0,0.0,0.0,359225.0,MB
977158.0,128.0,3929736.0,1.0,11000.0,3.0,0.0,0.0,458024.0,MB
209190.0,5.0,361835.0,1.0,0.0,0.0,0.0,0.0,5295.0,MB
209190.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6604.0,MB
209190.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6213.0,MB
209190.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,6099.0,MB
209190.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3901.0,MB
209190.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7254.0,MB
167432.0,5.0,541318.0,1.0,0.0,0.0,0.0,0.0,54088.0,MB
209190.0,18.0,616908.0,0.0,36000.0,3.0,0.0,0.0,1063364.0,MB
209190.0,18.0,586562.0,3.0,0.0,1.0,0.0,0.0,965728.0,MB
209190.0,18.0,3774633.0,5.0,38000.0,6.0,0.0,0.0,947920.0,MB
209190.0,19.0,2480051.0,3.0,0.0,5.0,0.0,0.0,986311.0,MB
209190.0,18.0,3044756.0,3.0,200000.0,2.0,0.0,0.0,687916.0,MB
209190.0,18.0,1799687.0,7.0,30000.0,0.0,0.0,0.0,678765.0,MB
167432.0,17.0,488757.0,12.0,29000.0,4.0,1.0,0.0,1031406.0,MB
923311.0,12.0,84088.0,0.0,0.0,0.0,0.0,0.0,67959.0,MB
923311.0,12.0,6024513.0,0.0,0.0,0.0,0.0,0.0,60961.0,MB
923311.0,12.0,4130228.0,1.0,0.0,0.0,0.0,0.0,50898.0,MB
923311.0,12.0,1020928.0,1.0,0.0,0.0,0.0,0.0,48244.0,MB
923311.0,12.0,38716.0,0.0,0.0,0.0,0.0,0.0,30985.0,MB
923311.0,12.0,65424.0,1.0,0.0,0.0,0.0,0.0,36586.0,MB
924859.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,217470.0,MB
924859.0,18.0,0.0,0.0,56000.0,1.0,0.0,0.0,209801.0,MB
924859.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,207940.0,MB
924859.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,223722.0,MB
924859.0,20.0,0.0,0.0,25001.0,0.0,0.0,0.0,98786.0,MB
924859.0,20.0,0.0,0.0,7500.0,0.0,0.0,0.0,37927.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,181013.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,173943.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,184066.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,148490.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,126479.0,MB
924859.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,105421.0,MB
924859.0,223.0,4323178.0,26.0,60300.0,29.0,0.0,0.0,14396798.0,MB
924859.0,224.0,44371147.0,24.0,121200.0,35.0,1.0,0.0,14213256.0,MB
924859.0,227.0,78195645.0,23.0,74100.0,39.0,0.0,0.0,14467068.0,MB
924859.0,230.0,15310654.0,18.0,138700.0,41.0,0.0,0.0,14257769.0,MB
924859.0,230.0,42782781.0,15.0,42300.0,25.0,0.0,0.0,9593171.0,MB
924859.0,220.0,25267074.0,12.0,17500.0,9.0,0.0,0.0,8774304.0,MB
977158.0,220.0,5193949.0,17.0,86200.0,29.0,1.0,0.0,11682962.0,MB
924859.0,9.0,69519000.0,0.0,18500.0,5.0,0.0,0.0,1421266.0,MB
924859.0,9.0,16187173.0,5.0,14300.0,4.0,0.0,0.0,1521342.0,MB
924859.0,9.0,2480454.0,5.0,13000.0,3.0,0.0,0.0,1557687.0,MB
924859.0,9.0,1956786.0,3.0,17000.0,6.0,0.0,0.0,1611090.0,MB
924859.0,9.0,0.0,0.0,17000.0,5.0,0.0,0.0,1103748.0,MB
924859.0,9.0,661697.0,0.0,8000.0,7.0,0.0,0.0,1043138.0,MB
562839.0,80.0,1905817.0,2.0,0.0,0.0,0.0,0.0,242554.0,MB
562839.0,80.0,3128179.0,2.0,0.0,0.0,0.0,0.0,228648.0,MB
562839.0,80.0,5783330.0,1.0,0.0,0.0,0.0,0.0,231519.0,MB
562839.0,53.0,1736819.0,2.0,0.0,0.0,0.0,0.0,232653.0,MB
562839.0,57.0,3278074.0,27.0,0.0,0.0,0.0,0.0,152508.0,MB
562839.0,47.0,464410.0,7.0,0.0,0.0,0.0,0.0,174118.0,MB
561456.0,51.0,1133834.0,5.0,0.0,0.0,0.0,0.0,197479.0,MB
562839.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1585.0,MB
923311.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,102375.0,MB
923311.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,91237.0,MB
923311.0,22.0,2250236.0,0.0,0.0,0.0,0.0,0.0,94437.0,MB
923311.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,98760.0,MB
923311.0,21.0,26595.0,2.0,0.0,0.0,0.0,0.0,59000.0,MB
923311.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,67217.0,MB
916408.0,19.0,9397.0,1.0,0.0,0.0,0.0,0.0,68504.0,MB
923311.0,43.0,1014000.0,1.0,50500.0,24.0,1.0,0.0,5763080.0,MB
923311.0,43.0,22723440.0,0.0,1000.0,1.0,0.0,0.0,5285156.0,MB
923311.0,42.0,2167330.0,0.0,21000.0,7.0,0.0,0.0,5199191.0,MB
923311.0,39.0,2045881.0,1.0,29000.0,5.0,0.0,0.0,5178794.0,MB
923311.0,39.0,5778688.0,1.0,22000.0,4.0,0.0,0.0,2807631.0,MB
923311.0,39.0,2014641.0,0.0,0.0,1.0,0.0,0.0,2952872.0,MB
916408.0,39.0,1650123.0,5.0,104300.0,12.0,0.0,0.0,4593081.0,MB
168136.0,15.0,670628.0,1.0,0.0,0.0,0.0,0.0,64362.0,MB
168136.0,14.0,11852.0,4.0,5104.0,2.0,0.0,0.0,62282.0,MB
168136.0,14.0,464829.0,3.0,5000.0,0.0,0.0,0.0,59391.0,MB
168136.0,14.0,0.0,1.0,2000.0,0.0,0.0,0.0,62242.0,MB
168136.0,14.0,26590.0,1.0,0.0,0.0,0.0,0.0,31528.0,MB
168136.0,14.0,1324935.0,1.0,7255.0,3.0,0.0,0.0,40511.0,MB
168136.0,28.0,153209.0,5.0,1214.0,1.0,0.0,0.0,762276.0,MB
168136.0,28.0,2732247.0,5.0,15726.0,0.0,0.0,0.0,699705.0,MB
168136.0,28.0,99894.0,5.0,59356.0,10.0,0.0,0.0,641060.0,MB
168136.0,29.0,153149.0,2.0,0.0,0.0,0.0,0.0,614578.0,MB
168136.0,29.0,5754110.0,1.0,0.0,0.0,0.0,0.0,390193.0,MB
168136.0,29.0,93062.0,1.0,0.0,0.0,0.0,0.0,379999.0,MB
171680.0,29.0,408633.0,3.0,29300.0,2.0,0.0,0.0,477543.0,MB
4181019.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,30427.0,MB
4181019.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,27571.0,MB
4181019.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30122.0,MB
4181019.0,8.0,0.0,0.0,11000.0,0.0,0.0,0.0,29216.0,MB
4181019.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,16650.0,MB
4181019.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,30180.0,MB
4181019.0,11.0,838766.0,0.0,0.0,0.0,0.0,0.0,195679.0,MB
4181019.0,11.0,1349061.0,0.0,32000.0,3.0,0.0,0.0,194067.0,MB
4181019.0,11.0,10590.0,0.0,0.0,0.0,0.0,0.0,193326.0,MB
4181019.0,11.0,988008.0,0.0,17000.0,1.0,0.0,0.0,201025.0,MB
4181019.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,116212.0,MB
4181019.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,167014.0,MB
4382009.0,10.0,150678.0,0.0,0.0,0.0,0.0,0.0,136947.0,MB
562839.0,98.0,3338739.0,14.0,138750.0,36.0,0.0,0.0,8364510.0,MB
562839.0,98.0,467888.0,12.0,218335.0,69.0,0.0,0.0,7712552.0,MB
562839.0,98.0,42795063.0,16.0,98000.0,25.0,0.0,0.0,7700016.0,MB
562839.0,98.0,8227194.0,29.0,142200.0,42.0,1.0,0.0,7465928.0,MB
562839.0,98.0,135961.0,60.0,184500.0,32.0,0.0,0.0,5718385.0,MB
562839.0,99.0,396230.0,50.0,80500.0,8.0,1.0,0.0,4820800.0,MB
561456.0,99.0,405146.0,102.0,1721500.0,46.0,0.0,0.0,7090733.0,MB
923311.0,42.0,52650.0,7.0,10500.0,4.0,0.0,0.0,3146805.0,MB
923311.0,42.0,0.0,2.0,3500.0,1.0,0.0,0.0,2866168.0,MB
923311.0,40.0,0.0,8.0,5000.0,2.0,0.0,0.0,2770081.0,MB
923311.0,40.0,0.0,6.0,0.0,0.0,0.0,0.0,2799752.0,MB
923311.0,41.0,0.0,0.0,3000.0,1.0,0.0,0.0,2087694.0,MB
923311.0,41.0,8574948.0,5.0,19500.0,9.0,0.0,0.0,2031383.0,MB
916408.0,41.0,8742158.0,4.0,0.0,1.0,0.0,0.0,3067906.0,MB
923311.0,44.0,412321.0,0.0,0.0,0.0,0.0,0.0,116242.0,MB
923311.0,34.0,0.0,0.0,10000.0,10.0,0.0,0.0,104651.0,MB
923311.0,42.0,1039686.0,2.0,12400.0,1.0,0.0,0.0,108602.0,MB
923311.0,42.0,52742.0,0.0,0.0,0.0,0.0,0.0,128305.0,MB
923311.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,62588.0,MB
923311.0,33.0,0.0,4.0,18000.0,1.0,0.0,0.0,69339.0,MB
923311.0,48.0,5242481.0,3.0,22435.0,0.0,0.0,0.0,1571551.0,MB
923311.0,48.0,520812.0,1.0,0.0,1.0,0.0,0.0,1424631.0,MB
923311.0,44.0,81840.0,5.0,18500.0,4.0,0.0,0.0,1397624.0,MB
923311.0,39.0,1995582.0,6.0,13041.0,5.0,0.0,0.0,1329362.0,MB
923311.0,40.0,5358677.0,1.0,0.0,0.0,0.0,0.0,872083.0,MB
923311.0,27.0,4275707.0,1.0,500.0,1.0,0.0,0.0,828068.0,MB
916408.0,24.0,7373560.0,14.0,46717.0,0.0,0.0,0.0,1266201.0,MB
116960.0,143.0,1848932.0,1.0,0.0,0.0,0.0,0.0,404142.0,MB
116960.0,150.0,952664.0,5.0,2500.0,1.0,0.0,0.0,396030.0,MB
116960.0,150.0,1329478.0,3.0,0.0,0.0,0.0,0.0,492101.0,MB
116960.0,129.0,1910006.0,5.0,34182.0,4.0,0.0,0.0,584345.0,MB
116960.0,417.0,651723.0,0.0,0.0,0.0,0.0,0.0,332300.0,MB
116960.0,381.0,2668850.0,3.0,0.0,0.0,0.0,0.0,377792.0,MB
111790.0,94.0,4333484.0,0.0,4200.0,1.0,0.0,0.0,500744.0,MB
116960.0,19.0,2038079.0,9.0,8500.0,1.0,0.0,0.0,628961.0,MB
116960.0,19.0,1670708.0,2.0,10700.0,2.0,0.0,0.0,556307.0,MB
116960.0,20.0,1564332.0,4.0,6000.0,1.0,0.0,0.0,531863.0,MB
116960.0,24.0,2707285.0,4.0,9657.0,4.0,0.0,0.0,535741.0,MB
116960.0,21.0,4990361.0,0.0,0.0,0.0,0.0,0.0,294475.0,MB
116960.0,22.0,4272390.0,0.0,600.0,1.0,0.0,0.0,257799.0,MB
111790.0,26.0,3151073.0,0.0,65500.0,2.0,0.0,0.0,332877.0,MB
1190956.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8251.0,MB
1190956.0,71.0,1532658.0,2.0,35500.0,6.0,0.0,0.0,270635.0,MB
1190956.0,69.0,1002692.0,1.0,8500.0,0.0,0.0,0.0,313431.0,MB
1190956.0,72.0,959807.0,0.0,10000.0,0.0,0.0,0.0,315722.0,MB
1190956.0,70.0,1288026.0,1.0,29000.0,3.0,0.0,0.0,308477.0,MB
1190956.0,73.0,94793.0,2.0,10000.0,2.0,0.0,0.0,143235.0,MB
1190956.0,65.0,2168492.0,0.0,60000.0,2.0,0.0,0.0,179603.0,MB
1285806.0,70.0,910378.0,0.0,0.0,0.0,0.0,0.0,236420.0,MB
1190956.0,41.0,3508218.0,5.0,0.0,0.0,0.0,0.0,793947.0,MB
1190956.0,46.0,3136653.0,1.0,47000.0,2.0,1.0,0.0,745098.0,MB
1190956.0,41.0,2576352.0,2.0,0.0,0.0,0.0,0.0,729293.0,MB
1190956.0,42.0,3319571.0,0.0,0.0,0.0,0.0,0.0,684329.0,MB
1190956.0,43.0,1107209.0,0.0,0.0,0.0,0.0,0.0,366326.0,MB
1190956.0,34.0,2115146.0,2.0,5000.0,1.0,0.0,0.0,337526.0,MB
1285806.0,34.0,6561603.0,1.0,0.0,0.0,0.0,0.0,419563.0,MB
108740.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,191939.0,MB
108740.0,14.0,0.0,0.0,27000.0,3.0,0.0,0.0,177763.0,MB
108740.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,209585.0,MB
108740.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,237332.0,MB
108740.0,17.0,360212.0,0.0,0.0,0.0,0.0,0.0,84845.0,MB
108740.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,64566.0,MB
108740.0,20.0,697382.0,0.0,0.0,0.0,0.0,0.0,49661.0,MB
108740.0,21.0,899827.0,0.0,0.0,0.0,0.0,0.0,47830.0,MB
108740.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,100438.0,MB
